"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U3","LGA-12","-20.231mm","2.147mm","-19.431mm","1.397mm","-19.431mm","1.397mm","T","180.00","LIS2DS12"
"U2","TPS6274x","-20.515mm","7.386mm","-21.59mm","8.636mm","-21.59mm","8.636mm","T","0.00","TPS62740"
"U1","32M1-A_M","-11.684mm","5.842mm","-11.684mm","5.842mm","-9.134mm","4.092mm","T","180.00","ATmega8-16AC"
"R3","3-0603","-5.715mm","2.032mm","-5.715mm","2.032mm","-6.565mm","2.032mm","T","0.00","330"
"R2","3-0603","-37.211mm","9.398mm","-37.211mm","9.398mm","-36.361mm","9.398mm","T","180.00","omit"
"R1","3-0603","-13.081mm","1.27mm","-13.081mm","1.27mm","-12.231mm","1.27mm","T","180.00","10k"
"Q2","NXP-SOT883_N","-6.604mm","8.128mm","-6.604mm","8.128mm","-6.929mm","8.303mm","T","0.00","PMZ390UN,315"
"Q1","NXP-SOT883_N","-6.35mm","4.826mm","-6.35mm","4.826mm","-6.675mm","5.001mm","T","0.00","PMZ390UN,315"
"P3","HDR2X3","-37.338mm","3.556mm","-36.068mm","1.016mm","-36.068mm","1.016mm","T","90.00","AVR SPI"
"P2","HDR_2x1_2mm","0.889mm","4.199mm","0.889mm","5.207mm","0.889mm","5.191mm","T","180.00","HDR_2x1_2mm"
"P1","HDR1X2","-28.067mm","4.699mm","-28.067mm","5.969mm","-28.067mm","5.969mm","T","270.00","Header 2"
"L4","0603","0.254mm","8.001mm","0.254mm","8.001mm","0.254mm","8.351mm","T","270.00","Inductor"
"L3","0603","-6.604mm","9.271mm","-6.604mm","9.271mm","-6.954mm","9.271mm","T","0.00","Inductor"
"L2","0603","-23.622mm","7.874mm","-23.622mm","7.874mm","-23.972mm","7.874mm","T","0.00","Inductor"
"L1","INDC3216","-1.651mm","6.985mm","-1.651mm","6.985mm","-1.651mm","5.635mm","T","90.00","Inductor"
"D3","Diode_SDM02U30LP3-7B","-4.953mm","6.985mm","-4.953mm","6.985mm","-5.143mm","6.985mm","T","360.00","Diode SDM02U30LP3"
"D2","Phototransistor","-12.954mm","-0.127mm","-12.954mm","-0.127mm","-13.704mm","-0.127mm","T","360.00","638-PT1921BL41TR8"
"D1","Diode0603","-5.715mm","0mm","-5.715mm","0mm","-4.89mm","0mm","T","180.00","LED_0603"
"C7","Tant0805","-4.191mm","8.382mm","-4.191mm","8.382mm","-3.5179mm","8.382mm","T","180.00","22uF"
"C6","0402","-23.114mm","2.794mm","-23.114mm","2.794mm","-23.114mm","2.144mm","T","90.00","100nF"
"C5","Tant0805","-24.892mm","2.794mm","-24.892mm","2.794mm","-24.892mm","3.4671mm","T","270.00","10uF"
"C4","0402","-21.971mm","0mm","-21.971mm","0mm","-21.321mm","0mm","T","180.00","100nF"
"C3","0402","-15.875mm","0.889mm","-15.875mm","0.889mm","-15.875mm","1.539mm","T","270.00","0.1uF"
"C2","0603","-24.13mm","6.223mm","-24.13mm","6.223mm","-24.98mm","6.223mm","T","0.00","C0603"
"C1","0603","-17.653mm","7.366mm","-17.653mm","7.366mm","-17.653mm","8.216mm","T","270.00","C0603"

