Designator,Footprint,Mid X,Mid Y,Rotation,Comment
L3,Inductor_KLZ1608AHR,34.163mm,10.668mm,0,47uH
L2,Inductor_KLZ1608AHR,16.891mm,8.636mm,0,2.2uH
C1,603,23.241mm,8.128mm,270,10uF
C2,603,16.764mm,6.985mm,0,10uF
C3,402,25.019mm,1.651mm,270,0.1uF
C4,402,18.923mm,0.762mm,180,100nF
C5,Tant0805,16.002mm,3.556mm,270,10uF
C6,402,17.78mm,3.556mm,90,100nF
C7,Tant0805,38.1mm,10.541mm,360,47uF
,,,,,
D1,Diode0603,35.433mm,0.127mm,360,LED_0603
D2,Phototransistor,27.94mm,0.635mm,360,638-PT1921BL41TR8
D3,DFLS130,37.211mm,6.852mm,90,Shottky
L1,Inductor_NLV32T,39.37mm,6.731mm,270,390uH
L4,Inductor_MLZ2012M220WT000,39.751mm,2.921mm,270,22uH
P1,HDR1X2,12.827mm,5.461mm,270,Header 2
P2,HDR_2x1_2mm,42.545mm,4.961mm,180,HDR_2x1_2mm
P3,HDR2X3,3.556mm,4.318mm,90,AVR SPI
Q1,NXP-SOT323_N,34.925mm,3.048mm,0,"PMF250XN,115"
Q2,NXP-SOT323_N,34.798mm,7.874mm,360,"PMF250XN,115"
R1,3-0603,27.813mm,2.032mm,180,10k
R2,3-0603,3.683mm,10.16mm,180,omit
R3,3-0603,32.639mm,1.397mm,270,330
U1,32M1-A_M,29.21mm,6.604mm,180,ATmega8-16AC
U2,TPS6274x,20.379mm,8.148mm,0,TPS62740
U3,LGA-12,20.663mm,2.909mm,180,LIS2DS12
