Altium Designer Pick and Place Locations
C:\w\OTP\Altium\OTP6\Project Outputs for OTP6\Pick Place for OTP6.csv

========================================================================================================================
File Design Information:

Date:       13/01/22
Time:       14:57
Revision:   b3127cd0405bb5f424c4e0c9286cbbe76f8dfafe
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P6","Header 1x1 1mm","TopLayer","Header1x1mm","6.2665","1.8662","0","1mm through hole"
"Q1","PMF250XN,115","BottomLayer","NXP-SOT323_N","-0.6169","-4.6124","90","N-Channel Trench MOSFET, 30 V, 0.9 A, -55 to 150 degC, 3-Pin SOT323, Tape and Reel"
"P5","Header 1x1 1mm","TopLayer","Header1x1mm","-5.7748","2.2376","0","1mm through hole"
"P2","Header 1x1 1mm","TopLayer","Header1x1mm","-0.5957","0.0569","0","1mm through hole"
"U4","MS5837","BottomLayer","MS5837","2.6930","-1.9740","225","Pressure/Temp"
"R5","10k","TopLayer","2-0402","-2.3508","-3.5419","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
"R4","10k","TopLayer","2-0402","-1.5847","-4.6034","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
"C8","100nF","BottomLayer","0402","4.1507","0.1696","135","Ceramic Chip Capacitor - Standard"
"D2","Shottky","BottomLayer","DFLS130","-3.8008","-2.2972","90",""
"P3","AVR SPI","TopLayer","HDR2X3","-0.0564","-14.7155","270","Header, 3-Pin, Dual row"
"P1","Header 1x1 1mm","BottomLayer","Header1x1mm","-6.6930","0.5662","90","1mm through hole"
"R3","330","BottomLayer","2-0402","-1.3237","-1.9821","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
"L2","2.2uH","TopLayer","Inductor_KLZ1608AHR","-3.2459","3.9366","0",""
"U3","LIS2DS12","TopLayer","LGA-12","3.3592","4.2074","90",""
"U2","TPS62740","TopLayer","TPS6274x","-3.3820","1.5995","270",""
"U1","ATmega8-16AC","TopLayer","32M1-A_M","3.4563","-1.1422","155","8-Bit AVR Microcontroller with 8K Bytes of In-System Programmable Flash Memory"
"R2","omit","TopLayer","3-0603","-0.3971","-20.6342","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R1","10k","TopLayer","2-0402","-0.4921","-5.8346","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
"L4","120uH","BottomLayer","Inductor_NLV32T","-2.2940","4.4762","180",""
"L1","47uH","BottomLayer","Inductor_KLZ1608AHR","-2.6992","0.5500","180",""
"D1","LED_0603","BottomLayer","Diode0603","0.5561","4.8101","90",""
"C7","47uF","BottomLayer","Tant0805","-5.6982","-1.6521","90",""
"C6","100nF","TopLayer","0402","0.2903","3.8611","180","Ceramic Chip Capacitor - Standard"
"C5","10uF","TopLayer","Tant0805","0.3489","5.2223","0",""
"C4","100nF","TopLayer","0402","0.3854","6.4780","180","Ceramic Chip Capacitor - Standard"
"C3","0.1uF","TopLayer","0402","-0.4239","1.7096","180","Ceramic Chip Capacitor - Standard"
"C2","C0603","TopLayer","0603","-2.8097","5.0737","180","Ceramic Chip Capacitor - Standard"
"C1","C0603","TopLayer","0603","-3.3005","-0.8451","180","Ceramic Chip Capacitor - Standard"
"L3","120uH","BottomLayer","Inductor_NLV32T","-2.2828","2.2003","0",""
