Designator,Comment,Footprint,Mid X,Mid Y
C1,1.0uF,402,1.524mm,-5.334mm
C2,1.0uF,402,7.112mm,-0.762mm
C3,0.1uF,402,10.287mm,-9.779mm
C4,100nF,402,10.16mm,-17.272mm
C5,10uF,Tant0805,7.62mm,-17.907mm
C6,100nF,402,7.62mm,-19.177mm
D1,LED_0603,Diode0603,1.27mm,-12.065mm
L1,Inductor,INDC3216,3.048mm,-20.447mm
Q1,MMBTA06LT3G,ONSC-SOT-23-3-318-08_V,3.429mm,-17.272mm
R1,10k,3-0603,6.985mm,-5.715mm
R2,omit,3-0603,18.796mm,-18.923mm
R3,330,3-0603,1.143mm,-8.509mm
R4,1k,3-0603,3.556mm,-14.478mm
U1,ATmega8-16AC,32M1-A_M,6.223mm,-9.906mm
U2,MCP1700T-1802E/TT,SOT-23-TT3_N,2.413mm,-2.667mm
U3,LIS2DS12,LGA-12,8.267mm,-15.532mm
